"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1711","updateUserData[5: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=New Name, статус авторизации=false]","","Tue Oct 01 14:12:15 MSK 2024","passed","Tue Oct 01 14:12:17 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[5: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=New Name, статус авторизации=false]"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1828","updateUserData[2: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=New Name, статус авторизации=true]","","Tue Oct 01 14:12:11 MSK 2024","passed","Tue Oct 01 14:12:13 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[2: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=New Name, статус авторизации=true]"
"","646","receivingOrders[1: получение заказов пользователя с email=test-qaXX@yandex.ru, password=password12399]","","Tue Oct 01 14:11:59 MSK 2024","passed","Tue Oct 01 14:12:00 MSK 2024","","ReceivingOrdersFromSpecificUserTest","ReceivingOrdersFromSpecificUserTest","receivingOrders[1: получение заказов пользователя с email=test-qaXX@yandex.ru, password=password12399]"
"","816","createOrder[10: создание заказа с ингредиентами=[], статус авторизации=true]","","Tue Oct 01 14:11:57 MSK 2024","passed","Tue Oct 01 14:11:58 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[10: создание заказа с ингредиентами=[], статус авторизации=true]"
"","610","createDuplicateCourier_shouldReturnError[0: авторизация с невалидными данными: EMAIL=null, PASSWORD=password12399]","","Tue Oct 01 14:12:01 MSK 2024","passed","Tue Oct 01 14:12:01 MSK 2024","","UserAuthWithoutRequiredFieldsTest","UserAuthWithoutRequiredFieldsTest","createDuplicateCourier_shouldReturnError[0: авторизация с невалидными данными: EMAIL=null, PASSWORD=password12399]"
"","473","createOrder[6: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, ], статус авторизации=false]","","Tue Oct 01 14:11:56 MSK 2024","passed","Tue Oct 01 14:11:56 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[6: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, ], статус авторизации=false]"
"","296","createUserWithInvalidFields[0: регистрация с пропущенными полями: EMAIL=null, PASSWORD=password1239, NAME=Users9]","","Tue Oct 01 14:12:03 MSK 2024","passed","Tue Oct 01 14:12:04 MSK 2024","","UserCreateWithoutRequiredFieldsTest","UserCreateWithoutRequiredFieldsTest","createUserWithInvalidFields[0: регистрация с пропущенными полями: EMAIL=null, PASSWORD=password1239, NAME=Users9]"
"","1029","createUserSuccessfully","","Tue Oct 01 14:12:06 MSK 2024","passed","Tue Oct 01 14:12:07 MSK 2024","","UserUniqueCreateTest","UserUniqueCreateTest","createUserSuccessfully"
"","2277","createOrder[1: создание заказа с ингредиентами=[null, 61c0c5a71d1f82001bdaaa74], статус авторизации=true]","","Tue Oct 01 14:11:50 MSK 2024","passed","Tue Oct 01 14:11:52 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[1: создание заказа с ингредиентами=[null, 61c0c5a71d1f82001bdaaa74], статус авторизации=true]"
"","1151","receivingOrders[0: получение заказов пользователя с email=test-qa99@yandex.ru, password=password12399]","","Tue Oct 01 14:11:58 MSK 2024","passed","Tue Oct 01 14:11:59 MSK 2024","","ReceivingOrdersFromSpecificUserTest","ReceivingOrdersFromSpecificUserTest","receivingOrders[0: получение заказов пользователя с email=test-qa99@yandex.ru, password=password12399]"
